Date,Hours,Title,Created,IsProject?,MeetingType,Id,Type,SuddenWork?,Project.Id,Createdby.Id,BusinessTrip,Worktype.Id
2024-04-16 00:00:00.000,1,"SW Daily Meeting",2024-04-17 00:00:00.000,"NonProject","","65","","FALSE","14","209","FALSE","6"
2024-04-16 00:00:00.000,1,"SW Daily Meeting",2024-04-17 00:00:00.000,"NonProject","","66","","FALSE","14","213","FALSE","6"
2024-04-16 00:00:00.000,1,"SW Daily Meeting",2024-04-17 00:00:00.000,"NonProject","","68","","FALSE","14","211","FALSE","6"
2024-04-16 00:00:00.000,1,"SW Daily Meeting",2024-04-17 00:00:00.000,"NonProject","","77","","FALSE","14","206","FALSE","6"
2024-04-16 00:00:00.000,1,"SW Daily Meeting",2024-04-17 00:00:00.000,"NonProject","","87","","FALSE","14","127","FALSE","6"
2024-04-17 00:00:00.000,1,"SW Daily Meeting",2024-04-18 00:00:00.000,"NonProject","","108","","FALSE","14","209","FALSE","6"
2024-04-17 00:00:00.000,1,"SW Daily Meeting",2024-04-18 00:00:00.000,"NonProject","","120","","FALSE","14","206","FALSE","6"
2024-04-17 00:00:00.000,1,"SW Daily Meeting",2024-04-19 00:00:00.000,"NonProject","","167","","FALSE","14","213","FALSE","6"
2024-04-21 00:00:00.000,1,"SW Daily Meeting",2024-04-22 00:00:00.000,"NonProject","","205","","FALSE","14","209","FALSE","6"
2024-04-21 00:00:00.000,1,"SW Daily Meeting",2024-04-22 00:00:00.000,"NonProject","","220","","FALSE","14","206","FALSE","6"
2024-04-22 00:00:00.000,1,"SW Daily Meeting",2024-04-23 00:00:00.000,"NonProject","","284","","FALSE","14","206","FALSE","6"
2024-04-23 00:00:00.000,1,"SW Daily Meeting",2024-04-24 00:00:00.000,"NonProject","","399","","FALSE","14","206","FALSE","6"
2024-04-24 00:00:00.000,1,"SW Daily Meeting",2024-04-25 00:00:00.000,"NonProject","","479","","FALSE","14","209","FALSE","6"
2024-04-24 00:00:00.000,1,"SW Daily Meeting",2024-04-25 00:00:00.000,"NonProject","","498","","FALSE","14","206","FALSE","6"
2024-04-28 00:00:00.000,1,"SW Daily Meeting",2024-04-29 00:00:00.000,"NonProject","","774","","FALSE","14","209","FALSE","6"
2024-04-28 00:00:00.000,1,"SW Daily Meeting",2024-04-29 00:00:00.000,"NonProject","","783","","FALSE","14","206","FALSE","6"
2024-04-28 00:00:00.000,1,"SW Daily Meeting",2024-04-29 00:00:00.000,"NonProject","","791","","FALSE","14","211","FALSE","6"
2024-04-29 00:00:00.000,1,"SW Daily Meeting",2024-04-30 00:00:00.000,"NonProject","","939","","FALSE","14","206","FALSE","6"
2024-04-29 00:00:00.000,1,"SW Daily Meeting",2024-04-30 00:00:00.000,"NonProject","","940","","FALSE","14","209","FALSE","6"
2024-04-29 00:00:00.000,1,"SW Daily Meeting",2024-04-30 00:00:00.000,"NonProject","","958","","FALSE","14","211","FALSE","6"
2024-05-02 00:00:00.000,1,"SW Daily Meeting",2024-05-03 00:00:00.000,"NonProject","","1216","","FALSE","14","209","FALSE","6"
2024-05-02 00:00:00.000,1,"SW Daily Meeting",2024-05-03 00:00:00.000,"NonProject","","1243","","FALSE","14","211","FALSE","6"
2024-05-02 00:00:00.000,1,"SW Daily Meeting",2024-05-03 00:00:00.000,"NonProject","","1327","","FALSE","14","206","FALSE","6"
2024-05-06 00:00:00.000,1,"SW Daily Meeting",2024-05-07 00:00:00.000,"NonProject","","1577","","FALSE","14","211","FALSE","6"
2024-05-06 00:00:00.000,1,"SW Daily Meeting",2024-05-08 00:00:00.000,"NonProject","","1703","","FALSE","14","206","FALSE","6"
2024-05-07 00:00:00.000,1,"SW Daily Meeting",2024-05-08 00:00:00.000,"NonProject","","1707","","FALSE","14","206","FALSE","6"
2024-05-07 00:00:00.000,1,"SW Daily Meeting",2024-05-08 00:00:00.000,"NonProject","","1735","","FALSE","14","209","FALSE","6"
2024-05-07 00:00:00.000,1,"SW Daily Meeting",2024-05-08 00:00:00.000,"NonProject","","1798","","FALSE","14","211","FALSE","6"
2024-05-08 00:00:00.000,1,"SW Daily Meeting",2024-05-09 00:00:00.000,"NonProject","","1994","","FALSE","14","211","FALSE","6"
2024-05-09 00:00:00.000,1,"SW Daily Meeting",2024-05-10 00:00:00.000,"NonProject","","2228","","FALSE","14","211","FALSE","6"
2024-05-12 00:00:00.000,1,"SW Daily Meeting",2024-05-13 00:00:00.000,"NonProject","","2424","","FALSE","14","209","FALSE","6"
2024-05-12 00:00:00.000,1,"SW Daily Meeting",2024-05-13 00:00:00.000,"NonProject","","2437","","FALSE","14","206","FALSE","6"
2024-05-12 00:00:00.000,1,"SW Daily Meeting",2024-05-13 00:00:00.000,"NonProject","","2458","","FALSE","14","211","FALSE","6"
2024-05-13 00:00:00.000,1,"SW Daily Meeting",2024-05-14 00:00:00.000,"NonProject","","2639","","FALSE","14","209","FALSE","6"
2024-05-13 00:00:00.000,1,"SW Daily Meeting",2024-05-14 00:00:00.000,"NonProject","","2672","","FALSE","14","206","FALSE","6"
2024-05-15 00:00:00.000,1,"SW Daily Meeting",2024-05-16 00:00:00.000,"NonProject","","2903","","FALSE","14","206","FALSE","6"
2024-05-15 00:00:00.000,1,"SW Daily Meeting",2024-05-16 00:00:00.000,"NonProject","","2934","","FALSE","14","211","FALSE","6"
2024-05-16 00:00:00.000,1,"SW Daily Meeting",2024-05-17 00:00:00.000,"NonProject","","3094","","FALSE","14","206","FALSE","6"
2024-05-16 00:00:00.000,1,"SW Daily Meeting",2024-05-17 00:00:00.000,"NonProject","","3193","","FALSE","14","211","FALSE","6"
2024-05-19 00:00:00.000,1,"SW Daily Meeting",2024-05-20 00:00:00.000,"NonProject","","3338","","FALSE","14","206","FALSE","6"
